31,Shaquille O'Neal,2002-03,30,LAL,NBA,67,66,2535,29.5,.602,.574,11.4,21.6,16.5,16.2,0.8,4.5,11.4,30.2,117,102,10.2,3.0,13.2,.250,.574,,.622
32,George Mikan *,1953-54,29,MNL,NBA,72,,2462,27.6,.466,.380,,,,,,,,,,,6.1,6.6,12.8,.249,.380,,.777
33,Wilt Chamberlain *,1972-73,36,LAL,NBA,82,,3542,19.1,.689,.727,,,19.6,12.5,,,,,,,10.7,7.5,18.2,.247,.727,,.510
34,David Robinson *,2000-01,35,SAS,NBA,80,80,2371,23.7,.559,.486,10.4,22.0,16.5,8.8,1.8,5.8,10.6,22.8,114,92,6.4,5.7,12.1,.246,.486,.000,.747
35,Wilt Chamberlain *,1959-60,23,PHW,NBA,72,,3338,28.0,.493,.461,,,,,,,,,,,9.0,8.0,17.0,.245,.461,,.582
36,Shaquille O'Neal,2000-01,28,LAL,NBA,74,74,2924,30.2,.574,.572,11.3,24.8,18.1,18.8,0.8,4.9,10.5,31.6,114,101,11.1,3.9,14.9,.245,.572,.000,.513
37,Kareem Abdul-Jabbar *,1975-76,28,LAL,NBA,82,,3379,27.2,.567,.529,8.0,30.5,19.6,19.4,1.6,4.9,,,,90,9.8,7.2,17.0,.242,.529,,.703
38,David Robinson *,1989-90,24,SAS,NBA,82,81,3002,26.3,.597,.531,11.7,24.8,18.5,8.7,2.2,6.5,13.3,26.6,116,97,7.9,7.2,15.1,.241,.531,.000,.732
39,Wilt Chamberlain *,1960-61,24,PHW,NBA,79,,3773,27.8,.519,.509,,,,,,,,,,,12.3,6.5,18.8,.240,.509,,.504
40,Marc Gasol,2012-13,28,MEM,NBA,18,18,651,20.7,.589,.505,7.7,16.5,12.1,20.3,1.0,3.1,10.8,18.6,126,101,2.2,1.0,3.2,.240,.505,.000,.908

41,David Robinson *,1999-00,34,SAS,NBA,80,80,2557,24.6,.568,.512,9.0,24.5,17.1,10.3,2.0,4.9,11.6,25.6,112,92,6.2,6.4,12.7,.238,.512,.000,.726
42,Bill Russell *,1963-64,29,BOS,NBA,78,,3482,19.3,.461,.433,,,,,,,,,,,1.3,16.0,17.3,.238,.433,,.550
43,Hakeem Olajuwon *,1992-93,30,HOU,NBA,82,82,3242,27.3,.577,.529,10.5,25.9,18.7,15.8,2.4,6.5,12.4,28.8,114,96,7.9,8.0,15.8,.234,.529,.000,.779
44,Bill Russell *,1964-65,30,BOS,NBA,78,,3466,19.5,.472,.438,,,,14.8,,,,,,,2.4,14.4,16.9,.234,.438,,.573
45,Walt Bellamy *,1961-62,22,CHP,NBA,79,,3344,26.3,.554,.519,,,,,,,,,,,13.4,2.8,16.3,.233,.519,,.644
46,Arvydas Sabonis *,1995-96,31,POR,NBA,73,21,1735,24.7,.617,.572,9.7,28.8,19.3,13.8,1.9,3.4,15.2,25.5,116,97,4.5,3.9,8.4,.233,.545,.375,.757
47,Neil Johnston *,1952-53,23,PHW,NBA,70,,3166,25.9,.534,.452,,,,,,,,,,,13.0,2.3,15.3,.232,.452,,.700
48,Chuck Share,1954-55,27,MLH,NBA,69,,1685,22.0,.517,.407,,,,,,,,,,,5.3,2.9,8.1,.232,.407,,.713
49,Kareem Abdul-Jabbar *,1980-81,33,LAL,NBA,80,,2976,25.5,.616,.574,7.6,21.5,15.0,13.6,0.9,4.0,12.8,26.3,118,101,9.6,4.6,14.3,.230,.574,.000,.766
50,Shaquille O'Neal,1994-95,22,ORL,NBA,79,79,2923,28.6,.588,.583,13.3,21.7,17.6,13.3,1.3,4.5,9.4,31.9,118,104,9.6,4.4,14.0,.230,.583,.000,.533
51,Robert Parish *,1980-81,27,BOS,NBA,82,78,2298,25.2,.579,.545,12.7,25.3,19.3,10.0,1.7,5.1,12.5,27.1,113,96,6.0,4.9,10.9,.228,.545,.000,.710
52,Kareem Abdul-Jabbar *,1979-80,32,LAL,NBA,82,,3143,25.3,.639,.604,7.2,22.2,15.4,16.5,1.2,4.6,15.7,24.1,118,100,9.5,5.3,14.8,.227,.604,.000,.765
53,Bob Lanier *,1973-74,25,DET,NBA,81,,3047,23.9,.548,.504,9.1,27.1,18.1,17.9,1.6,4.3,,,,88,7.3,7.1,14.4,.227,.504,,.797
54,Brad Daugherty,1992-93,27,CLE,NBA,71,71,2691,22.0,.635,.571,7.3,22.9,15.5,17.3,1.0,1.3,11.7,21.1,125,105,8.8,3.9,12.7,.226,.571,.500,.795
