28,Karl Malone *,1991-92,28,UTA,NBA,81,81,3054,25.4,.599,.527,8.7,24.1,16.8,13.4,1.8,1.0,11.6,30.3,118,103,9.9,5.2,15.1,.237,.526,.176,.778
29,Tiago Splitter,2012-13,28,SAS,NBA,21,2,397,21.4,.651,.605,11.5,16.5,14.2,9.8,1.4,2.5,14.4,19.9,123,100,1.3,0.6,1.9,.234,.605,.000,.735
30,Karl Malone *,1988-89,25,UTA,NBA,80,80,3126,24.4,.592,.521,10.0,19.6,15.1,12.8,2.3,1.3,12.7,30.4,115,99,8.6,6.6,15.2,.233,.519,.313,.766
31,Karl Malone *,1995-96,32,UTA,NBA,82,82,3113,26.0,.575,.524,7.1,24.2,15.8,20.6,2.4,1.5,9.8,29.8,117,102,9.9,5.3,15.1,.233,.519,.400,.723
32,Toni Kukoc,1995-96,27,CHI,NBA,81,20,2103,20.4,.589,.546,6.4,11.5,8.9,21.0,1.6,1.0,11.2,21.4,125,104,6.9,3.2,10.1,.231,.490,.403,.772
33,Kevin Durant,2011-12,23,OKC,NBA,66,66,2546,26.2,.610,.547,1.9,20.4,11.8,17.5,1.8,2.2,14.0,31.3,114,101,8.5,3.7,12.2,.230,.496,.387,.860
34,Elton Brand,2005-06,26,LAC,NBA,79,79,3099,26.5,.580,.527,9.3,19.9,14.8,13.1,1.4,4.9,9.3,27.7,116,100,9.3,5.5,14.8,.229,.527,.333,.775
35,Elgin Baylor *,1960-61,26,LAL,NBA,73,,3133,28.2,.498,.430,,,,,,,,,,,9.1,5.7,14.8,.227,.430,,.783
36,Bailey Howell *,1966-67,30,BOS,NBA,81,,2503,19.5,.559,.512,,,,5.9,,,,,,,8.0,3.8,11.8,.226,.512,,.741
37,Bailey Howell *,1962-63,26,DET,NBA,79,,2971,21.6,.589,.516,,,,,,,,,,,11.1,2.9,14.0,.226,.516,,.798
38,Larry Bird *,1982-83,26,BOS,NBA,79,79,2982,24.1,.561,.512,7.0,24.2,15.7,22.4,2.3,1.3,12.6,25.0,115,98,8.4,5.6,14.0,.225,.504,.286,.840
39,Kevin Garnett,2002-03,26,MIN,NBA,82,82,3321,26.4,.553,.508,8.6,28.5,18.8,25.8,1.8,2.8,11.9,26.4,113,98,9.8,5.8,15.6,.225,.502,.282,.751
