31,Chet Walker *,1974-75,34,CHI,NBA,76,,2452,19.5,.568,.487,4.9,13.6,9.3,11.8,1.0,0.1,,,,97,7.6,2.9,10.5,.205,.487,,.860
32,Jack Twyman *,1957-58,23,CIN,NBA,72,,2178,18.9,.514,.452,,,,,,,,,,,7.0,2.2,9.3,.204,.452,,.775
33,Cliff Hagan *,1959-60,28,STL,NBA,75,,2798,22.0,.522,.464,,,,,,,,,,,9.3,2.5,11.8,.203,.464,,.803
34,LeBron James,2004-05,20,CLE,NBA,80,80,3388,25.7,.554,.504,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,114,103,9.7,4.6,14.3,.203,.472,.351,.750
35,Scottie Pippen *,1996-97,31,CHI,NBA,82,82,3095,21.3,.554,.531,5.9,13.3,9.7,24.3,2.7,1.1,12.5,24.6,115,101,7.8,5.2,13.1,.203,.474,.368,.701
36,Adrian Dantley *,1977-78,21,TOT,NBA,79,,2933,20.9,.595,.512,9.2,12.0,10.6,11.8,1.8,0.4,13.8,21.7,116,102,9.6,2.5,12.2,.199,.512,,.796
37,Peja Stojakovic,2002-03,25,SAC,NBA,72,72,2450,19.6,.600,.556,2.8,14.0,8.7,9.4,1.5,0.1,8.1,22.5,117,101,6.9,3.3,10.1,.199,.481,.382,.875
38,Peja Stojakovic,2003-04,26,SAC,NBA,81,81,3264,21.8,.624,.566,3.2,14.1,8.8,9.1,1.7,0.3,8.9,23.9,120,106,11.4,2.1,13.5,.198,.480,.433,.927
39,Dominique Wilkins *,1986-87,27,ATL,NBA,79,79,2969,23.5,.543,.472,7.7,10.3,9.0,14.9,1.9,1.0,9.2,32.3,115,107,8.4,3.7,12.2,.197,.463,.292,.818
40,James Posey,2003-04,27,MEM,NBA,82,82,2451,18.8,.614,.551,4.2,14.5,9.3,8.4,2.9,1.2,10.9,18.9,119,101,6.8,3.2,10.0,.195,.478,.386,.830
41,John Drew,1977-78,23,ATL,NBA,70,,2203,23.7,.545,.480,10.2,15.2,12.6,11.2,2.5,0.7,12.4,31.0,107,99,6.0,2.9,8.9,.194,.480,,.760
42,Scottie Pippen *,1993-94,28,CHI,NBA,72,72,2759,23.2,.544,.515,7.3,19.4,13.3,24.6,4.0,1.4,13.7,27.1,109,97,5.2,6.0,11.2,.194,.491,.320,.660
43,Ernie Vandeweghe,1952-53,24,NYK,NBA,61,,1745,18.8,.499,.435,,,,,,,,,,,4.7,2.3,7.1,.194,.435,,.766
44,Terry Dischinger,1963-64,23,BAL,NBA,80,,2816,19.6,.564,.496,,,,,,,,,,,9.5,1.9,11.3,.193,.496,,.776
45,Cliff Hagan *,1960-61,29,STL,NBA,77,,2701,20.1,.503,.444,,,,,,,,,,,6.4,4.4,10.8,.193,.444,,.820
46,Scottie Pippen *,1991-92,26,CHI,NBA,82,82,3164,21.5,.555,.511,6.9,15.8,11.5,25.8,2.5,1.8,14.0,24.6,114,102,7.1,5.5,12.7,.192,.506,.200,.760
47,Adrian Dantley *,1980-81,24,UTA,NBA,80,,3417,24.3,.622,.559,6.5,10.5,8.5,16.3,1.6,0.3,12.5,28.4,118,111,12.3,1.3,13.6,.191,.559,.286,.806
48,Chet Walker *,1973-74,33,CHI,NBA,82,,2661,18.5,.566,.486,5.0,10.9,7.9,12.2,1.2,0.1,,,,96,7.4,3.2,10.6,.191,.486,,.875
49,Dominique Wilkins *,1992-93,33,ATL,NBA,71,70,2647,24.3,.570,.506,7.6,12.9,10.1,14.9,1.3,0.6,9.0,31.9,119,112,9.1,1.4,10.5,.191,.468,.380,.828
50,Adrian Dantley *,1979-80,23,UTA,NBA,68,,2674,24.3,.635,.576,8.3,14.0,11.3,12.3,1.8,0.3,13.5,27.8,119,110,9.5,1.1,10.5,.189,.576,.000,.842
51,Julius Erving *,1976-77,26,PHI,NBA,82,,2940,20.9,.553,.499,6.9,16.2,11.8,15.9,2.4,1.9,,,,95,6.8,4.8,11.5,.188,.499,,.777
52,Scottie Pippen *,1994-95,29,CHI,NBA,79,79,3014,22.6,.559,.522,6.9,18.2,12.5,22.8,4.0,2.2,15.2,26.3,110,98,5.1,6.7,11.8,.188,.480,.345,.716
53,Adrian Dantley *,1981-82,25,UTA,NBA,81,81,3222,24.2,.631,.570,7.6,9.6,8.6,15.5,1.4,0.2,13.3,27.9,121,114,11.9,0.7,12.6,.187,.570,.333,.792
54,Ricky Pierce,1985-86,26,MIL,NBA,81,8,2147,16.6,.603,.539,4.9,7.0,6.0,11.6,1.8,0.2,10.3,19.5,122,106,5.7,2.6,8.3,.186,.538,.130,.858
55,Marques Johnson,1977-78,21,MIL,NBA,80,,2765,21.3,.563,.522,10.9,21.6,16.2,9.5,1.5,1.9,11.2,21.4,114,101,7.7,3.0,10.6,.185,.522,,.736
56,Dominique Wilkins *,1989-90,30,ATL,NBA,80,79,2888,24.6,.556,.502,8.4,12.4,10.4,11.8,2.2,1.0,8.3,30.4,118,112,9.3,1.8,11.1,.184,.484,.322,.807
57,Terry Dischinger,1964-65,24,DET,NBA,80,,2698,17.7,.543,.493,,,,10.7,,,,,,,7.7,2.6,10.3,.183,.493,,.755
58,Cliff Hagan *,1962-63,31,STL,NBA,79,,1716,21.2,.515,.465,,,,,,,,,,,4.1,2.4,6.5,.183,.465,,.800
59,Frank Ramsey *,1961-62,30,BOS,NBA,79,,1913,16.3,.504,.428,,,,,,,,,,,3.9,3.4,7.3,.183,.428,,.825
60,Adrian Dantley *,1986-87,30,DET,NBA,81,81,2736,18.6,.614,.534,4.2,8.7,6.5,8.8,1.1,0.1,11.3,23.7,121,109,7.8,2.5,10.3,.181,.534,.167,.812
61,Chet Walker *,1966-67,26,PHI,NBA,81,,2691,17.9,.557,.488,,,,8.8,,,,,,,7.4,2.7,10.1,.181,.488,,.766
62,Julius Erving *,1983-84,33,PHI,NBA,77,77,2683,22.9,.562,.515,8.3,14.1,11.2,19.3,2.5,3.0,13.0,27.2,112,102,5.6,4.5,10.1,.180,.512,.333,.754
63,Marques Johnson,1982-83,26,MIL,NBA,80,80,2853,21.1,.543,.511,7.9,13.5,10.8,20.3,1.7,1.1,11.0,25.7,111,102,6.6,4.1,10.7,.180,.509,.200,.735
64,Ricky Pierce,1986-87,27,MIL,NBA,79,31,2505,18.5,.606,.535,5.1,6.7,5.9,8.9,1.2,0.6,8.6,22.7,122,110,7.3,2.1,9.4,.180,.534,.107,.880
65,Jack Twyman *,1956-57,22,ROC,NBA,72,,2338,17.0,.496,.439,,,,,,,,,,,6.2,2.6,8.8,.180,.439,,.760
66,Stacey Augmon,1993-94,25,ATL,NBA,82,82,2605,17.9,.576,.510,7.5,9.2,8.3,11.0,2.9,1.1,12.3,19.8,116,102,5.7,4.0,9.7,.179,.510,.143,.764
67,Julius Erving *,1977-78,27,PHI,NBA,74,,2429,21.7,.555,.502,7.7,12.2,10.0,17.3,2.5,2.0,14.7,25.1,109,99,6.0,3.1,9.1,.179,.502,,.845
68,Scottie Pippen *,1990-91,25,CHI,NBA,82,82,3014,20.6,.561,.529,6.5,16.6,11.6,23.5,3.2,1.9,15.1,21.8,114,102,5.9,5.4,11.2,.179,.520,.309,.706
69,Peja Stojakovic,2001-02,24,SAC,NBA,71,71,2649,19.3,.592,.541,3.0,11.9,7.5,10.6,1.5,0.4,9.9,23.2,115,104,6.8,3.0,9.9,.179,.484,.416,.876
70,George Yardley *,1959-60,31,SYR,NBA,73,,2402,18.2,.522,.453,,,,,,,,,,,6.9,2.1,9.0,.179,.453,,.816
71,George Yardley *,1956-57,28,FTW,NBA,72,,2691,21.9,.498,.410,,,,,,,,,,,8.0,2.1,10.0,.179,.410,,.787
72,Chet Walker *,1970-71,30,CHI,NBA,81,,2927,18.9,.541,.465,,,9.5,9.4,,,,,,,7.5,3.4,10.9,.178,.465,,.859
73,John Drew,1978-79,24,ATL,NBA,79,,2410,21.7,.536,.473,9.7,13.9,11.7,8.1,2.5,0.4,11.2,30.9,109,103,6.1,2.8,8.9,.177,.473,,.731
74,Dominique Wilkins *,1990-91,31,ATL,NBA,81,81,3078,23.5,.555,.495,9.0,17.3,13.0,14.4,1.9,1.3,9.6,28.1,116,109,8.6,2.8,11.4,.177,.470,.341,.829
75,George Yardley *,1958-59,30,TOT,NBA,61,,1839,20.5,.495,.428,,,,,,,,,,,5.0,1.8,6.8,.177,.428,,.779
